SR,SR_ref
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","CHOREV S, 2006, INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","COLLINSON E, 2001, MANAGEMENT DECISION"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","DI ZHANG D, 2011, INT J ENTREP BEHAV R"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","DIAMANTOPOULOS ASIGUAW, 2000, INTRO LISREL"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","DILTS J, 2002, MARKETING MANAGEMENT JOURNAL"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","DUUS HJ, 1997, SCANDINAVIAN JOURNAL OF MANAGEMENT"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","FALK R, 1992, PRIMER SOFT MODELING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","FILLIS I, 2010, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","FORNELL C, 1981, J MARKETING RES"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","FRANCO M, 2014, J SMALL BUS ENTERP D"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","GILMORE A, 2011, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HILL J, 2000, JOURNAL OF ENTERPRISING CULTURE"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HILLS GE, 2011, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HILLS GE, 2008, J SMALL BUS MANAGE"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HISRICH RD, 1992, J BUSINESS IND MARKE"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","HULTMAN CM, 2011, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","IONITA D, 2012, MANAGEMENT MARKETING CHALLENGES FOR THE KNOWLEDGE SOCIETY"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","JONES B, 2010, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","JONES R, 2009, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","KNIGHT G, 2000, J INT MARKETING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","KRAUS SASCHA, 2010, INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP AND INNOVATION MANAGEMENT"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","KURGUN H, 2011, EUROPEAN JOURNAL OF SOCIAL SCIENCES"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","LARSON A, 1991, J BUS VENTURING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","LIN CTS, 2007, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","LODISH LM, 2001, ENTREPRENEURIAL MARKETING. LESSONS FROM WHARTON'S PIONEERING MBA COURSE"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MARJANOVA TJ, 2015, PROCD SOC BEHV"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MARTIN DM, 2009, QUAL MARK RES"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MILES M, 2015, J STRATEG MARK"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MOHR J, 2001, MARKETING OF HIGH-TECHNOLOGY PRODUCTS AND INNOVATIONS"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MORGAN RM, 1994, J MARKETING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MORRIS MH, 2002, J MARKET THEORY PRAC"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MORRISH SC, 2011, J RES MARK ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","MORT GS, 2012, EUR J MARKETING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","O'DWYER M, 2019, J STRATEG MARK"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","OSTERWALDER A, 2013, BUSINESS MODEL GENERATION - CANVAS"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","PODSAKOFF PM, 1986, J MANAGE"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","RINGLE CM, 2014, SMARTPLS 3"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","SASHITTAL HC, 2001, J ACAD MARKET SCI"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","SCOTT M, 1987, LONG RANGE PLANN"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","SIMBA A, 2014, J SMALL BUS ENTREP"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","STOKES D, 2000, J RES MARKETING ENTR"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","TENENHAUS M, 2005, COMPUT STAT DATA AN"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","TEO HH, 2003, MIS QUART"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","WEBSTER FE, 1992, J MARKETING"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","WESTERLUND MIKA, 2016, INTERNATIONAL JOURNAL OF GLOBALISATION AND SMALL BUSINESS"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","WHALEN P, 2016, J STRATEG MARK"
"WESTERLUND M, 2018, TECHNOL INNOV MANAG","WOLD H, 1982, A SECOND GENERATION OF MULTIVARIATE ANALYSIS: METHODS"
